URL,Người bán,Loại người bán,Số phòng ngủ,Hướng,Kiểu nhà,Giá,Giá mỗi m2,Diện tích,Địa chỉ,Giấy tờ pháp lý,Số phòng vệ sinh,Tình trạng nội thất,Số tầng
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/124241657.htm,SEN CHUNG CƯ,Môi Giới,2 PN,Không rõ,"Căn hộ dịch vụ, mini","1,98 tỷ","38,08 triệu/m²",52 m²,"Đường Võ Chí Công, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Sổ hồng riêng,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/124723997.htm#px=SR-special_display_ad-[PO-1][PL-default],Hữu Trung Tưởng,Môi Giới,4 PN,Không rõ,"Nhà ngõ, hẻm","11,8 tỷ","274,42 triệu/m²",43 m²,"Phố Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-bac-tu-liem-ha-noi/125832670.htm,hoan,Cá nhân,2 PN,Hướng Đông Bắc,Chung cư,"1,68 tỷ",42 triệu/m²,40 m²,"ngõ 121, Đường Đông Ngạc, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",Đang chờ sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/125832580.htm,Hoàng Minh Mười,Môi Giới,4 PN,Không rõ,"Nhà ngõ, hẻm","18,9 tỷ","300,48 triệu/m²",62.9 m²,"Nguyễn văn huyên, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/124438241.htm,Hoàng Tú,Môi Giới,4 PN,Không rõ,Nhà biệt thự,"9,2 tỷ","210,05 triệu/m²",43.8 m²,"Phố Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/125832099.htm,22159960_1000,Chuyên trang môi giới,5 PN,Không rõ,"Nhà ngõ, hẻm","6,7 tỷ",335 triệu/m²,20 m²,"Phố Nguyễn Văn Tuyết, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/125832089.htm,Nguyễn Thu Hà,Môi Giới,4 PN,Hướng Nam,"Nhà ngõ, hẻm","4,15 tỷ","122,06 triệu/m²",34 m²,"Phố Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/125486014.htm,Dương Lê,Môi Giới,3 PN,Không rõ,"Nhà ngõ, hẻm",6 tỷ,"146,34 triệu/m²",41 m²,"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/125831665.htm,Trần Thị Nhung,Môi Giới,3 PN,Không rõ,"Nhà ngõ, hẻm","6,8 tỷ","115,25 triệu/m²",59 m²,"Thạch Cầu, Phường Long Biên, Quận Long Biên, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/125831305.htm,Thanh Lam,Môi Giới,3 PN,Không rõ,"Nhà ngõ, hẻm","4,99 tỷ","166,33 triệu/m²",30 m²,"Đường Lĩnh Nam, Phường Mai Động, Quận Hoàng Mai, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/125831211.htm,Hạnh Bùi,Môi Giới,4 PN,Không rõ,"Nhà ngõ, hẻm","11,2 tỷ","273,17 triệu/m²",41 m²,"Cầu Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/120661397.htm,Mr Thế,Cá nhân,4 PN,Không rõ,"Nhà ngõ, hẻm","6,5 tỷ","171,05 triệu/m²",38 m²,"Đường Đại Mỗ, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-hoai-duc-ha-noi/124457745.htm,Duy Khánh,Môi Giới,2 PN,Hướng Tây,Chung cư,"3,55 tỷ","53,79 triệu/m²",66 m²,"gemek2, Đường Lê Trọng Tấn, Xã An Khánh, Huyện Hoài Đức, Hà Nội",Sổ hồng riêng,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/125588476.htm,Chuyên trang Bđs nhà mặt phố.,Chuyên trang môi giới,2 PN,Không rõ,Chung cư,"3,1 tỷ","68,89 triệu/m²",45 m²,"bà triệu, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội",Sổ hồng riêng,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-hoan-kiem-ha-noi/125587976.htm,Chuyên trang Bđs nhà mặt phố.,Chuyên trang môi giới,6 PN,Không rõ,"Nhà ngõ, hẻm",25 tỷ,"384,62 triệu/m²",65 m²,"Phố Đồng Xuân, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/125579038.htm,Chuyên trang Bđs nhà mặt phố.,Chuyên trang môi giới,3 PN,Không rõ,"Nhà ngõ, hẻm","14,5 tỷ","362,50 triệu/m²",40 m²,"Phố Phan Đình Phùng, Phường Quán Thánh, Quận Ba Đình, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-huyen-thanh-tri-ha-noi/125830226.htm,Phan Hùng,Môi Giới,3 PN,Không rõ,"Nhà ngõ, hẻm","6,4 tỷ","142,22 triệu/m²",45 m²,"Thọ Am , Xã Liên Ninh, Huyện Thanh Trì, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/125830207.htm,Thanh Lam,Môi Giới,3 PN,Không rõ,"Nhà ngõ, hẻm","5,25 tỷ",175 triệu/m²,30 m²,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/125261025.htm,Nguyễn Đình Thành,Môi Giới,6 PN,Không rõ,"Nhà ngõ, hẻm",6 tỷ,"153,85 triệu/m²",39 m²,"Đường Quang Trung, Phường La Khê, Quận Hà Đông, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/125830199.htm,Khuất văn toàn,Môi Giới,3 PN,Không rõ,"Nhà ngõ, hẻm","8,7 tỷ","248,57 triệu/m²",35 m²,"Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/125829915.htm,Châu Giang,Cá nhân,3 PN,Không rõ,"Nhà ngõ, hẻm","10,86 tỷ","236,09 triệu/m²",46 m²,"Phố Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/122406015.htm,Phan Hùng,Môi Giới,3 PN,Không rõ,"Nhà ngõ, hẻm","5,78 tỷ",170 triệu/m²,34 m²,"Phố Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/125829852.htm,nguyễn xuân cương,Môi Giới,2 PN,Không rõ,"Nhà ngõ, hẻm","7,95 tỷ","203,85 triệu/m²",39 m²,"Phố Đội Cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/125209443.htm,Phan Hùng,Môi Giới,3 PN,Không rõ,"Nhà ngõ, hẻm","5,85 tỷ",234 triệu/m²,25 m²,"Phố Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",Đã có sổ,Không rõ,Không rõ,Không rõ
